text,suggested_intent
hey,greet
do u have coffee,dish_query
i will take one espresso and 5 americano,
anything special,
suggest something,
"do You have Coffee Cappuchino, Americano, Au Laite Au Laite, Cappucchino, Chans Espresso, Con Panna, Black Coffee ,Espresso ,Frappe, French Coffee ,Iced Coffee, Late ,Irish Coffee ,Latte Macchiato ,Wainans Choco Coffee",dish_query
"Do You have Coffee Cappuchino, Americano, Au Laite Au Laite, Cappucchino, Chans Espresso, Con Panna, Black Coffee ,Espresso ,Frappe, French Coffee ,Iced Coffee, Late ,Irish Coffee ,Latte Macchiato ,Wainans Choco Coffee",dish_query
"do u have Coffee Cappuchino, Americano, Au Laite Au Laite, Cappucchino, Chans Espresso, Con Panna, Black Coffee ,Espresso ,Frappe, French Coffee ,Iced Coffee, Late ,Irish Coffee ,Latte Macchiato ,Wainans Choco Coffee",dish_query
what special do u have,
hello,greet
what special do u have,
do you have,
what do you have coffee,dish_query
do you have espresso,
do you have coffee,dish_query
what do you have,
do u have coffee,dish_query
i will take one espresso and 2 americano,
suggest something,
what do u think we should have,
hello,greet
what do u have,
what do u have,
what do you have,
do you have h,
do you have,
do u have milkshake,
I will take one espresso and 2 americano,
"do you have Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores",
"Do You have Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores",
"do u have Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores",
what do you have milkshake,
do you have milkshake,
do u have milkshake,
i will take one Avocado Shake and 2 Salted Caramel Pretzel,
i will take one Chocolate and Vanila Combo and 5 americano,
give me two red velvet please,
thank you,goodbye
what is in the menu,menu_items
I will take one Mix Cupcake and 2 Strawberry Traimisu.,dish_query
do u have dirty coffee,dish_query
do u have good pastery,
do you have  pastery,
"do you have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco ?",dish_query
"do you have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco?",dish_query
what do you have pastery?,
do u have pastery?,
"do You have Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco.",dish_query
do you have pastery,
do you have Waffel Ice-cream?,
do you have pastery?,
"do You have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque.?",dish_query
no can u suggest something else,
do u have bad pastery?,
what should i take,
ok i will have two waffle ice-cream.,
ok i will take one,
do u have pastery,
What do you  have?,
I will take one Red Velvet and 2 Strawberry Traimisu.,
do u have pastery?,
do u have puff pastery,
I will take one  Blueberry Puff and 2  French Pastery,
i will take one Cinnimon Orange rolls and 5 Simple Cherry Puff,
i will take one Nutella Puff  and 3 Egg Puff,
"do You have Blueberry Puff,Char Sui,Cinnimon Orange rolls,Easy Spinach,French Pastery,Beef Wellington,Keto Puff,Nutella Puff.",dish_query
