id,name
1,Chocolate and Vanila Combo
2,Avocado Shake
3,Apple pomegranate juice
4,Drumstick Milkshake
5,Pumpkin Shake
6,Malted Chocolate
7,Oreo Shake
8,Pista Shake
9,Mix Fruit Smothie
10,Tiramisu Milkshake
11,Banana Cream treat
12,Cotton candy shake
13,Cranberry Orange
14,Mint White Chocolate
15,Cheery Vanila
16,Peanut Vanila
17,Salted Caramel Pretzel
18,Smores
19,Red Velvet
20,Strawberry Traimisu
21,Black Forest
22,Black Tie Mose
23,Honey Slice
24,Walnut Pastry
25,Mango cream Bluree
26,Maxres Special
27,Pineapple Shot  cake
28,Strawberry Basque
29,Vanila Layer
30,Fruit & Cheese cerame
31,Mix  Cupcake
32,Macrons
33,Waffel Ice-cream
34,Waffel Choco
35,Tanuki
36,Tomato Cheese
37,Blueberry Puff
38,Char Sui
39,Cinnimon Orange rolls
40,Easy Spinach
41,French Pastery
42,Beef Wellington
43,Keto Puff
44,Nutella Puff
45,Asparagus Puff
46,Egg Puff
47,Rough Puff
48,Simple Cherry Puff
49,Tart Social
50,Blaeter  tertei Puff
51,Simple Coffee
52,Cappuchino
53,Americano
54,Au Laite
55,Au Laite Cappucchino
56,Chans Espresso
57,Con Panna
58,Black Coffee
59,Espresso
60,Frappe
61,French Coffee
62,Iced Coffee Late
63,Irish Coffee 
64,Latte Macchiato
65,Wainans Choco Coffee
